model_name,data_path,bleu,bleu_precision_1,bleu_precision_2,bleu_precision_3,bleu_precision_4,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,qwen3_embedding_distance,gemma_embedding_distance,luxembourgish_embedding_distance,language
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/eng_test_bio_history.json,0.0833174985150868,0.24778343708734202,0.12419614147909967,0.056761986669533436,0.03744798890429958,0.9264449250473213,0.9290220820189274,10602,11412,0.2297125582422599,0.05918534434205469,0.22354111886388978,0.22352620640389692,"{'mean_distance': 0.3936934471130371, 'std_distance': 0.14711874723434448}","{'mean_distance': 0.39982107281684875, 'std_distance': 0.1293559968471527}","{'mean_distance': 0.25742384791374207, 'std_distance': 0.13413336873054504}",English
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/lux_test_bio_history.json,0.00753770107496285,0.16911261501026537,0.018283174801185093,0.003438899552143314,0.000820714842627929,0.7798822963264402,0.8008891324868305,26302,32841,0.10921104501603376,0.01217068843898654,0.07550956269468796,0.07542660334047843,"{'mean_distance': 0.6091554760932922, 'std_distance': 0.12132130563259125}","{'mean_distance': 0.6267203092575073, 'std_distance': 0.10917896032333374}","{'mean_distance': 0.4680584669113159, 'std_distance': 0.1778278350830078}",Luxembourgish
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/eng_test_bio_history.json,0.08473970460790603,0.26291265985922474,0.13129172406485112,0.060999203368612726,0.04141575519233132,0.8769044948000503,0.883894146512443,10087,11412,0.22728241094215873,0.05731122924416837,0.21936418779023464,0.21963674686088416,"{'mean_distance': 0.39840811491012573, 'std_distance': 0.14767132699489594}","{'mean_distance': 0.40614116191864014, 'std_distance': 0.13084116578102112}","{'mean_distance': 0.25993916392326355, 'std_distance': 0.13248327374458313}",English
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/ger_test_bio_history.json,0.09350615315900243,0.2790498609030601,0.13591143690627572,0.08349713027753754,0.05501698566575524,0.8138861376767802,0.829232225245475,14019,16906,0.19520700489597453,0.06505012831233896,0.18063178614653985,0.18374177305798112,"{'mean_distance': 0.5070289373397827, 'std_distance': 0.13826444745063782}","{'mean_distance': 0.4586775004863739, 'std_distance': 0.11504089087247849}","{'mean_distance': 0.3052332103252411, 'std_distance': 0.12611830234527588}",German
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/ger_test_bio_history.json,0.09591202677244622,0.26586102719033233,0.12994032994032995,0.07944097094520045,0.052916183854770184,0.8737056465395723,0.8810481485863008,14895,16906,0.19661743428834677,0.06676757080330263,0.18235087294911556,0.18478031961685792,"{'mean_distance': 0.49893227219581604, 'std_distance': 0.1369480937719345}","{'mean_distance': 0.4512384831905365, 'std_distance': 0.11457166820764542}","{'mean_distance': 0.30515119433403015, 'std_distance': 0.1344926506280899}",German
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/eng_test_bio_history.json,0.08198043354615961,0.23858520900321542,0.11900341963849535,0.05425143453312467,0.035590374930050364,0.9527380801084696,0.9538205397826849,10885,11412,0.22129408087013813,0.055983948556196414,0.2154104018789317,0.21588696824265294,"{'mean_distance': 0.40342313051223755, 'std_distance': 0.14846572279930115}","{'mean_distance': 0.40895384550094604, 'std_distance': 0.12590529024600983}","{'mean_distance': 0.2644469141960144, 'std_distance': 0.13385841250419617}",English
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/lux_test_bio_history.json,0.009999536851180366,0.1720723141288911,0.020076368932803214,0.005209805742902145,0.0015751295336787566,0.7706308526110356,0.7933071465546117,26053,32841,0.11125034319572571,0.011702194564022371,0.07600372643587691,0.07568021598274877,"{'mean_distance': 0.6032671928405762, 'std_distance': 0.11745133996009827}","{'mean_distance': 0.6266164779663086, 'std_distance': 0.10895934700965881}","{'mean_distance': 0.4600169062614441, 'std_distance': 0.17742502689361572}",Luxembourgish
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/ger_test_bio_history.json,0.09472341482095363,0.2733398166157266,0.13305688927688056,0.08185705558949298,0.05431463924152338,0.8399994959380801,0.8515320004732048,14396,16906,0.18553684868138254,0.06369201825516141,0.1724509720118797,0.17545746234163287,"{'mean_distance': 0.5081186890602112, 'std_distance': 0.13073097169399261}","{'mean_distance': 0.4573986232280731, 'std_distance': 0.11132824420928955}","{'mean_distance': 0.3079325556755066, 'std_distance': 0.1299358308315277}",German
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/ger_test_bio_history.json,0.09267773058183575,0.25763206795858773,0.12491330281592454,0.07582800697269029,0.04924531178533313,0.8851657567751605,0.8912812019401396,15068,16906,0.18797611166072492,0.06283845650249426,0.17571657353550046,0.1782490151159379,"{'mean_distance': 0.49974581599235535, 'std_distance': 0.13042664527893066}","{'mean_distance': 0.4547431766986847, 'std_distance': 0.11286003887653351}","{'mean_distance': 0.3064333498477936, 'std_distance': 0.1303429752588272}",German
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/eng_test_bio_history.json,0.0813748078770281,0.22799116997792496,0.11381733021077284,0.051371571072319204,0.03392,0.9923473128573496,0.9923764458464774,11325,11412,0.2245503098814698,0.053069492074130135,0.21738533733297793,0.21814987982529893,"{'mean_distance': 0.39962542057037354, 'std_distance': 0.14796817302703857}","{'mean_distance': 0.40355637669563293, 'std_distance': 0.1282281130552292}","{'mean_distance': 0.2652718424797058, 'std_distance': 0.13136765360832214}",English
